figure_panel	panel_content	analysis_script	figure_rendering_script	principal_output
Extended Data Fig. 7b	Canonical marker expression across human major cell types	scripts/03_human_annotation/01_annotate_major_cell_types.R	scripts/03_human_annotation/01_annotate_major_cell_types.R	dotplot_all_markers.png
Extended Data Fig. 7c	Human oligodendrocyte subcluster UMAP	scripts/04_human_oligodendrocytes/01_resolution_sweep.R; scripts/04_human_oligodendrocytes/02_assign_a4_ol_subtypes.R	scripts/04_human_oligodendrocytes/02_assign_a4_ol_subtypes.R	UMAP_olig_subclusters_annotated.png
Extended Data Fig. 7d	APOE3 and APOE4 composition across human oligodendrocyte subclusters	scripts/04_human_oligodendrocytes/02_assign_a4_ol_subtypes.R	scripts/04_human_oligodendrocytes/02_assign_a4_ol_subtypes.R	olig_cluster_apoe_percentage.png
Extended Data Fig. 7e	Mouse A4-OL signature enrichment across human oligodendrocyte populations	scripts/04_human_oligodendrocytes/02_assign_a4_ol_subtypes.R	scripts/04_human_oligodendrocytes/02_assign_a4_ol_subtypes.R	GSEA_lollipop.png
Extended Data Fig. 7f	A4-OL UCell score in human A4-like OLs by APOE genotype	scripts/05_cross_species_ucell/01_mouse_signature_to_human_ucell.R	scripts/05_cross_species_ucell/02_plot_human_ucell_comparisons.R	human_A4_like_OL_A4_UCell_APOE3_vs_APOE4_paper_style_sig_final.pdf
Extended Data Fig. 7g	A4-OL UCell score in human A4-like versus other OLs	scripts/05_cross_species_ucell/01_mouse_signature_to_human_ucell.R	scripts/05_cross_species_ucell/02_plot_human_ucell_comparisons.R	human_A4_UCell_A4OLs_vs_OtherOLs_paper_style_sig_final.pdf
Extended Data Fig. 7h	GO and KEGG enrichment of human A4-like oligodendrocyte DEGs	scripts/04_human_oligodendrocytes/03_a4_ol_markers_and_enrichment.R	scripts/04_human_oligodendrocytes/03_a4_ol_markers_and_enrichment.R	GO and KEGG dot plots in Figure/Mapping/DEG_cluster2_12/plots
Extended Data Fig. 8a	Mouse Egr1 expression across oligodendrocytes	scripts/02_mouse_oligodendrocytes/01_subcluster_and_annotate_mouse_ol.R	scripts/08_figure_generation/07_plot_mouse_egr1_umap.R	Extended_Data_Fig8a_mouse_Egr1_UMAP.pdf
Extended Data Fig. 8d	Human and mouse EGR1/Egr1 core and extended regulon activity	scripts/06_scenic/01_run_scenic_human_mouse.R	scripts/06_scenic/01_run_scenic_human_mouse.R	human_EGR1_regulon_AUC_A4_vs_Other.pdf; mouse_EGR1_regulon_AUC_A4_vs_Other.pdf
Extended Data Fig. 8e	Cross-species comparison of EGR1/Egr1 regulon activity	scripts/06_scenic/01_run_scenic_human_mouse.R	scripts/06_scenic/01_run_scenic_human_mouse.R	human_mouse_shared_regulon_delta_scatter.pdf
Extended Data Fig. 8f	Sample-level EGR1/Egr1 regulon activity	scripts/06_scenic/01_run_scenic_human_mouse.R	scripts/08_figure_generation/05_plot_sample_level_egr1.R	SampleLevel_Human_EGR1_regulon_AUC_paired_connected_only.pdf; SampleLevel_Mouse_Egr1_regulon_AUC_paired_connected_only.pdf
